C-125A1PS1,BA000004.3,100.000,36,0,0,1,36,339772,339807,5.60e-09,66.2
C-125A1PS1,MK932884.1,92.000,25,2,0,5,29,13878,13902,2.7,37.4
C-125A1PS1,MH444512.1,92.000,25,2,0,5,29,13878,13902,2.7,37.4
C-125A1PS1,LR664365.1,88.889,27,3,0,2,28,36252675,36252649,9.5,36.5
C-125A1PS1,KX707937.1,88.889,27,3,0,7,33,6955,6929,9.5,36.5
C-125A1PS1,CP034492.1,92.308,26,1,1,3,28,8454249,8454225,9.5,35.6
C-125A1PS1,CP000792.2,100.000,19,0,0,17,35,1633011,1633029,9.5,35.6
C-125A1PS1,KX158522.1,91.667,24,2,0,13,36,24684,24661,9.5,35.6
C-125A1PS2,BA000004.3,100.000,34,0,0,1,34,339840,339873,6.82e-08,62.6
C-125A1PS2,LR698960.1,95.652,23,1,0,10,32,2024474,2024496,2.7,38.3
C-125A1PS2,CP033784.1,95.652,23,1,0,10,32,1607860,1607882,2.7,38.3
C-125A1PS2,CP022054.2,95.652,23,1,0,10,32,850271,850293,2.7,38.3
C-125A1PS2,CP036271.1,88.889,27,3,0,5,31,3561498,3561524,9.5,36.5
C-125A1PS2,CP037898.1,91.667,24,2,0,2,25,351286,351309,9.5,35.6
C-125A1PS2,CP018321.1,91.667,24,2,0,1,24,2845801,2845824,9.5,35.6
C-125A1PS2,CP012202.1,91.667,24,2,0,1,24,2864133,2864156,9.5,35.6
C-125A1PS2,CP008913.1,100.000,19,0,0,10,28,283079,283097,9.5,35.6
C-125A1PS2,CP003873.1,91.667,24,2,0,1,24,2890741,2890764,9.5,35.6
C-125A1PS2,CP003844.1,91.667,24,2,0,1,24,2835307,2835330,9.5,35.6
C-125A1PS2,CP003841.1,91.667,24,2,0,1,24,2760097,2760120,9.5,35.6
C-125A1PS2,CP002457.1,91.667,24,2,0,2,25,4201732,4201709,9.5,35.6
C-125A1PS2,CP002457.1,91.667,24,2,0,2,25,4417711,4417688,9.5,35.6
C-125A1PS2,CP001785.1,91.667,24,2,0,8,31,14632,14609,9.5,35.6
C-125A1PS3,BA000004.3,100.000,36,0,0,1,36,339906,339941,5.60e-09,66.2
C-125A1PS3,CP009471.1,89.286,28,3,0,4,31,19571,19598,2.7,38.3
C-125A1PS3,CP003257.1,89.286,28,3,0,4,31,19571,19598,2.7,38.3
C-125A1PS3,CP042913.1,100.000,20,0,0,6,25,4693938,4693919,2.7,37.4
C-125A1PS3,CP033917.1,86.667,30,4,0,7,36,3154266,3154237,2.7,37.4
C-125A1PS3,CP015199.1,86.667,30,4,0,7,36,607641,607670,2.7,37.4
C-125A1PS3,LR664365.1,95.455,22,1,0,4,25,46708943,46708922,9.5,36.5
C-125A1PS3,LR664354.1,95.455,22,1,0,6,27,55574776,55574797,9.5,36.5
C-125A1PS3,CP029760.1,95.455,22,1,0,2,23,2468943,2468964,9.5,36.5
C-125A1PS3,CP011859.1,95.455,22,1,0,2,23,1759469,1759490,9.5,36.5
C-125A1PS3,LR699012.1,85.294,34,4,1,1,33,2920778,2920811,9.5,36.5
C-125A1PS3,CP013020.1,95.455,22,1,0,14,35,4671423,4671444,9.5,36.5
C-125A1PS3,CP012850.1,95.455,22,1,0,2,23,3408715,3408736,9.5,36.5
C-125A1PS3,CP002117.1,95.833,24,0,1,12,34,2069670,2069647,9.5,36.5
C-125A1PS3,CP002046.1,95.455,22,1,0,2,23,1931553,1931574,9.5,36.5
C-125A1PS3,CP001463.1,95.455,22,1,0,7,28,237700,237721,9.5,36.5
C-125A1PS3,CP046328.1,91.667,24,2,0,3,26,1724507,1724484,9.5,35.6
